date,intercept,beta1,beta2
16778,-16.74254,-0.3870755,0.5726015
16779,-17.15932,-0.3972684,0.5837896
16780,-16.60118,-0.3839798,0.5695438
16781,-16.24067,-0.3766132,0.5620285
16782,-16.22377,-0.3772979,0.5631055
16783,-16.2107,-0.3783258,0.5647197
16784,-16.6039,-0.3895403,0.578446
16785,-18.41288,-0.4417367,0.6486248
16786,-18.68579,-0.4462399,0.6546118
16787,-19.01272,-0.448161,0.6560617
16788,-18.80904,-0.4461155,0.653969
16789,-18.75143,-0.4452317,0.6526923
16790,-18.69183,-0.4445753,0.6517471
16791,-19.3634,-0.4514037,0.6537672
16792,-19.61196,-0.457341,0.6580425
16793,-19.60366,-0.4562633,0.6570864
16794,-19.55142,-0.459228,0.6610605
16795,-19.55142,-0.459228,0.6610605
16796,-19.44979,-0.4609119,0.6638046
16797,-19.35184,-0.4623748,0.6661896
16798,-19.51818,-0.4805624,0.6953518
16799,-19.46073,-0.4745406,0.686497
16800,-17.89387,-0.4351163,0.6410573
16801,-17.89387,-0.4351163,0.6410573
16802,-17.89387,-0.4351163,0.6410573
16803,-17.84557,-0.4348198,0.6406961
16804,-17.82011,-0.4346194,0.6404738
16805,-17.07908,-0.4186751,0.6209108
16806,-16.77404,-0.4111093,0.6114027
16807,-16.35601,-0.4006448,0.5982917
16808,-16.73155,-0.4101502,0.6103522
16809,-15.89691,-0.391583,0.5875341
16810,-15.8858,-0.3919869,0.5881862
16811,-15.90589,-0.3930511,0.5898559
