date,Intercept,beta1,beta2
16778,-3.694889,-0.9209089,0.86733
16779,-3.697674,-0.9214945,0.8677239
16780,-3.698242,-0.9218628,0.8676546
16781,-3.778077,-0.9326319,0.8830521
16782,-3.77606,-0.9324453,0.8826357
16783,-3.774465,-0.9322619,0.882225
16784,-3.614234,-0.9114044,0.8507391
16785,-3.74897,-0.9295389,0.8771717
16786,-3.724959,-0.926622,0.8723626
16787,-3.564416,-0.9054809,0.8405407
16788,-3.777453,-0.9339541,0.8822348
16789,-3.776212,-0.9337874,0.8818536
16790,-3.774876,-0.9336244,0.8814785
16791,-3.804584,-0.937617,0.8868165
16792,-4.003825,-0.9623409,0.9235025
16793,-4.036369,-0.9664058,0.9291466
16794,-3.836631,-0.9425058,0.8926723
16795,-3.836631,-0.9425058,0.8926723
16796,-3.835935,-0.9423749,0.8923478
16797,-3.835231,-0.9422484,0.8920306
16798,-3.723948,-0.9283346,0.8707197
16799,-3.447759,-0.891845,0.8165057
16800,-3.07552,-0.8379175,0.7380331
16801,-3.07552,-0.8379175,0.7380331
16802,-3.07552,-0.8379175,0.7380331
16803,-3.073602,-0.8375202,0.7373374
16804,-3.07162,-0.8371269,0.7366479
16805,-3.250077,-0.8647821,0.7759484
16806,-3.278546,-0.8692862,0.7819928
16807,-2.936941,-0.8172727,0.7069904
16808,-3.036992,-0.8337658,0.7299032
16809,-2.626596,-0.7656243,0.6332883
16810,-2.624292,-0.7650423,0.6323498
16811,-2.622258,-0.7644647,0.6314181
