date,intercept,beta1,beta2
16632,-93.08293,-0.5144801,0.7615467
16633,-91.56594,-0.5083507,0.7532725
16634,-92.49855,-0.512204,0.7582903
16635,-92.41666,-0.5122324,0.7582732
16636,-92.33545,-0.5122603,0.7582556
16637,-95.20094,-0.5235274,0.7732695
16638,-90.12504,-0.5040348,0.747109
16639,-86.58367,-0.4901068,0.7286061
16640,-90.08242,-0.5037971,0.7467249
16641,-87.95448,-0.4956174,0.7357835
16642,-87.86285,-0.4956562,0.7357817
16643,-87.77194,-0.4956951,0.7357803
16644,-85.97077,-0.4889335,0.7267452
16645,-89.02166,-0.500282,0.741758
16646,-90.0469,-0.5039614,0.7465784
16647,-79.65321,-0.4749298,0.7069066
16648,-76.13275,-0.4639741,0.6922161
16649,-76.02838,-0.4640195,0.6922249
16650,-75.92467,-0.4640655,0.6922348
16651,-78.69789,-0.4729447,0.7040055
16652,-78.20688,-0.4711855,0.7016064
16653,-77.13474,-0.4675714,0.6967444
16654,-79.94154,-0.4767143,0.7088456
16655,-74.85082,-0.4618704,0.6888818
16656,-74.74897,-0.4619198,0.6888979
16657,-74.64774,-0.4619697,0.688915
16658,-74.05043,-0.4604465,0.6867617
16659,-76.39592,-0.4672833,0.6958644
16660,-76.47901,-0.4674542,0.6960213
16661,-76.46265,-0.4676769,0.696198
16662,-76.44681,-0.4679003,0.6963757
16663,-76.44681,-0.4679003,0.6963757
16664,-76.34819,-0.4679526,0.6963968
16665,-76.04076,-0.4672716,0.6953721
16666,-72.84866,-0.4579759,0.6828716
16667,-75.49587,-0.4652812,0.6926479
16668,-70.66106,-0.4529002,0.6758177
16669,-72.64264,-0.4583654,0.6831037
16670,-72.54449,-0.4584196,0.6831298
16671,-72.44687,-0.4584743,0.6831568
16672,-70.95403,-0.4546158,0.6778562
16673,-76.66078,-0.4674621,0.695668
16674,-75.54556,-0.463919,0.6908986
16675,-77.88966,-0.4712116,0.7005186
16676,-77.88347,-0.4714402,0.700707
16677,-77.79072,-0.4715013,0.7007429
16678,-77.69843,-0.4715625,0.7007793
16679,-66.29029,-0.4643335,0.688076
16680,-66.94074,-0.4653774,0.6895094
16681,-60.30692,-0.4660257,0.6876615
16682,-57.29578,-0.4669963,0.6873424
16683,-60.9303,-0.4627815,0.6838815
16684,-60.84067,-0.4628226,0.6838945
16685,-60.75144,-0.4628638,0.6839077
16686,-58.65571,-0.4625954,0.6825764
16687,-61.83411,-0.4613446,0.6823819
16688,-61.90084,-0.4615369,0.6825597
16689,-62.45982,-0.4621519,0.6834517
16690,-63.02019,-0.4628245,0.6844096
16691,-62.93046,-0.462875,0.6844346
16692,-62.84114,-0.4629257,0.68446
16693,-60.43735,-0.4616068,0.6818065
16694,-59.91478,-0.4615381,0.6814174
16695,-58.49785,-0.4613231,0.6804538
16696,-60.77169,-0.4610835,0.6810785
16697,-59.5653,-0.4607443,0.6800794
16698,-59.47912,-0.460789,0.6800998
16699,-59.39331,-0.4608339,0.6801207
16700,-58.48691,-0.4607924,0.6795974
16701,-54.93774,-0.4628519,0.6803818
16702,-58.67413,-0.4571859,0.675203
16703,-59.3235,-0.4575368,0.6758208
16704,-58.49782,-0.4574077,0.6752328
16705,-58.49782,-0.4574077,0.6752328
16706,-58.4131,-0.4574568,0.6752605
16707,-58.32874,-0.4575062,0.6752885
16708,-58.32874,-0.4575062,0.6752885
16709,-61.82724,-0.456615,0.6755792
16710,-60.91326,-0.4560549,0.6744669
16711,-61.18988,-0.4565568,0.6751044
16712,-61.18988,-0.4565568,0.6751044
16713,-61.1043,-0.4566191,0.6751488
16714,-60.19064,-0.4561372,0.6741276
16715,-59.06096,-0.4555361,0.6728644
16716,-61.73938,-0.4562382,0.674709
16717,-60.82136,-0.4556419,0.6735556
16718,-60.82136,-0.4556419,0.6735556
16719,-60.73658,-0.455706,0.6736032
16720,-60.65215,-0.4557703,0.6736511
16721,-60.93155,-0.4562932,0.6743149
16722,-63.34904,-0.4581109,0.6773617
16723,-62.51066,-0.4571968,0.6758649
16724,-62.49465,-0.4574729,0.6761147
16725,-60.9608,-0.456126,0.6738298
16726,-60.87696,-0.4561924,0.6738814
16727,-60.79346,-0.456259,0.6739333
16728,-60.17629,-0.4559829,0.6732838
16729,-54.37336,-0.4621596,0.678332
16730,-53.54353,-0.4632209,0.6791291
16731,-57.23171,-0.4556546,0.6716129
16732,-57.80682,-0.4559337,0.6721099
16733,-57.72616,-0.4559986,0.6721609
16734,-57.64583,-0.4560635,0.6722122
16735,-55.8226,-0.456291,0.6716583
16736,-55.28893,-0.45665,0.671779
16737,-57.10586,-0.4558153,0.6714647
16738,-57.68376,-0.4561118,0.6719828
16739,-55.54651,-0.4564413,0.6714267
16740,-55.46844,-0.4565008,0.6714725
16741,-55.39067,-0.4565605,0.6715185
16742,-56.55182,-0.456366,0.6717015
16743,-68.86748,-0.4092457,0.6209326
16744,-70.24748,-0.4142159,0.6272777
16745,-70.57837,-0.4157899,0.6292173
16746,-69.58481,-0.4124898,0.6248824
16747,-69.50402,-0.4126191,0.6250252
16748,-69.42349,-0.412748,0.6251675
16749,-67.44385,-0.4057294,0.6160731
16750,-68.17007,-0.4083753,0.6194074
16751,-71.17527,-0.4185502,0.632534
16752,-71.51418,-0.4201008,0.6344454
16753,-69.49059,-0.4131506,0.625413
16754,-69.41036,-0.4132775,0.6255532
16755,-69.33036,-0.4134038,0.6256928
16756,-68.00284,-0.4089024,0.6198266
16757,-71.35298,-0.4199712,0.6341289
16758,-69.74043,-0.4141289,0.6265482
16759,-74.07564,-0.4280957,0.6447059
16760,-74.43302,-0.4296116,0.6465768
16761,-74.35232,-0.4297147,0.6466855
16762,-74.27175,-0.4298171,0.6467934
16763,-71.82417,-0.4217111,0.6362503
16764,-74.31107,-0.4298517,0.6467443
16765,-72.64013,-0.4240661,0.639215
16766,-78.20085,-0.4406579,0.6609734
16767,-77.11233,-0.4373637,0.6566146
16768,-77.03075,-0.4374516,0.6567028
16769,-76.94923,-0.4375387,0.6567899
16770,-75.50722,-0.4330616,0.6509116
16771,-72.01002,-0.4213136,0.6356984
16772,-75.22345,-0.4315146,0.6488801
16773,-73.08086,-0.4246248,0.6399112
16774,-75.20102,-0.4317811,0.6490892
16775,-75.11969,-0.4318729,0.6491832
16776,-75.03842,-0.4319638,0.6492762
16777,-76.48785,-0.4368594,0.6555277
16778,-66.71908,-0.4118292,0.6225281
16779,-78.14736,-0.4295001,0.648301
16780,-74.78447,-0.4186252,0.6342714
16781,-74.43162,-0.4177098,0.6330141
16782,-74.35101,-0.4178048,0.6331127
16783,-74.27046,-0.4178988,0.6332098
16784,-67.75884,-0.3965775,0.6058903
16785,-71.93248,-0.4099842,0.6230672
16786,-74.15971,-0.4173036,0.6323837
16787,-70.53079,-0.4051179,0.6167735
16788,-72.29878,-0.4114485,0.6247738
16789,-72.21902,-0.4115499,0.6248812
16790,-72.13934,-0.4116502,0.6249872
16791,-71.07357,-0.4082593,0.6205883
16792,-73.2925,-0.4155178,0.6298117
16793,-69.38956,-0.402076,0.6126503
16794,-65.5428,-0.388292,0.5951481
16795,-65.5428,-0.388292,0.5951481
16796,-65.46687,-0.38843,0.595305
16797,-65.39107,-0.3885671,0.5954607
16798,-66.74205,-0.3938954,0.6021196
16799,-68.53336,-0.4001574,0.610005
16800,-62.32209,-0.3784234,0.5824541
16801,-62.32209,-0.3784234,0.5824541
16802,-62.32209,-0.3784234,0.5824541
16803,-62.24823,-0.37858,0.5826348
16804,-62.17453,-0.3787355,0.5828142
16805,-68.71709,-0.3961855,0.6055044
16806,-68.09845,-0.3938514,0.6024971
16807,-72.73187,-0.4082598,0.62092
16808,-72.00845,-0.406074,0.6180638
16809,-73.11003,-0.410062,0.6230481
