date,intercept,beta1,beta2,
16771,-18.34848,0.5542116,-0.8534718,
16772,-17.84814,0.5483594,-0.8390017,
16773,-17.77044,0.5487954,-0.8389586,
16774,-17.50088,0.5490264,-0.8365559,
16775,-17.46622,0.5494191,-0.8370391,
16776,-17.4387,0.5497169,-0.8373787,
16777,-17.33073,0.5501019,-0.8367047,
16778,-18.03603,0.5515162,-0.8454441,
16779,-18.49167,0.5544696,-0.8538537,
16780,-17.8994,0.5503482,-0.841921,
16781,-17.53225,0.549717,-0.8371995,
16782,-17.5324,0.5491613,-0.8362119,
16783,-17.53427,0.5481835,-0.8345599,
16784,-17.97366,0.5447022,-0.8322872,
16785,-19.80139,0.5538822,-0.8574503,
16786,-20.05054,0.560521,-0.8693047,
16787,-20.30216,0.5745576,-0.8943189,
16788,-20.09012,0.5695015,-0.8848949,
16789,-20.01325,0.5703547,-0.8863877,
16790,-19.93607,0.5708106,-0.8872254,
16791,-20.61557,0.5995948,-0.9439843,
16792,-20.9203,0.6095224,-0.9651602,
16793,-20.90481,0.6081873,-0.9621355,
16794,-20.84897,0.6078238,-0.9622634,
16795,-20.84897,0.6078238,-0.9622634,
16796,-20.74141,0.6061677,-0.9595937,
16797,-20.63625,0.6046267,-0.9570874,
16798,-20.92846,0.5851799,-0.9241747,
16799,-20.8474,0.5866319,-0.9258362,
16800,-19.11146,0.5515998,-0.8522773,
16801,-19.11146,0.5515998,-0.8522773,
16802,-19.11146,0.5515998,-0.8522773,
16803,-19.05787,0.5518988,-0.852713,
16804,-19.05933,0.5507819,-0.8508404,
16805,-18.34481,0.5396597,-0.8273802,
16806,-18.04609,0.537123,-0.8208836,
16807,-17.6421,0.5357505,-0.815332,
16808,-18.02175,0.5366934,-0.8195277,
16809,-17.20049,0.5364745,-0.8125972,
16810,-17.20842,0.5361603,-0.8119786,
16811,-17.27013,0.5339533,-0.8084221,
